user_id,pickup_lat,pickup_long,dropoff_lat,dropoff_long,request_time,available_seats,ride_status,carpooling_preference
c7a6837e-e997-4c59-817e-3bcac497a0b2,28.608331,77.159236,28.749089,77.178843,2025-02-03 12:20:35,3,Completed,No
1aa9ee63-3c46-4d29-95b8-d44d161930f3,28.624364,77.12956,28.567034,77.197213,2025-02-13 22:18:10,4,Ongoing,Yes
4f1adc8a-e207-49dd-870f-69339a80cd8f,28.610481,77.052404,28.586814,77.179938,2025-02-03 20:26:25,1,Ongoing,No
21e7e316-221c-4fb5-ba11-7caa56305391,28.795234,77.012161,28.535656,77.041317,2025-02-05 02:38:11,2,Cancelled,No
f13200e4-d43f-4801-9b41-0bf9cfcbf7c8,28.629556,77.017777,28.596318,77.213448,2025-02-12 22:45:17,3,Cancelled,Yes
71219782-a80e-4e24-817d-fc46cc063102,28.638244,77.027715,28.675735,77.098012,2025-02-04 12:56:23,2,Cancelled,Yes
dc7ad95e-b614-4164-b5bb-723c4f26b51c,28.643885,77.065763,28.681301,77.244219,2025-02-10 12:09:35,1,Cancelled,No
dc302ec8-c04b-4abd-baaa-b2325c8e5c7d,28.663096,77.143137,28.590997,77.066114,2025-02-02 21:27:02,2,Completed,Yes
fff83b6b-871b-48f3-b37c-a63ca96ddab1,28.643865,77.247805,28.785947,77.292049,2025-02-06 09:10:18,4,Completed,No
af8cbba8-6488-4493-99da-264e7748ce1e,28.59233,77.276952,28.721802,77.27423,2025-02-13 22:12:05,4,Completed,No
26ee48a7-7d0c-4d73-8a51-baf9baeeac31,28.540784,77.213691,28.676697,77.08379,2025-02-04 18:10:49,4,Completed,Yes
0fdc867f-8eb9-40fd-8048-9b127690157e,28.539845,77.219756,28.598958,77.10457,2025-02-06 12:13:57,3,Ongoing,No
20830d82-089a-41cc-a7d2-5a2e1d0ef1a4,28.632339,77.268084,28.657518,77.069985,2025-02-07 06:07:06,4,Ongoing,No
b565ab61-ead3-4b10-8389-d172a8089300,28.579576,77.131516,28.669397,77.165768,2025-02-12 23:30:28,1,Ongoing,Yes
81c1b951-3c61-472d-9630-9c88fdc6fff1,28.793031,77.199168,28.799052,77.123375,2025-02-08 22:40:04,1,Completed,No
9e04c27e-e3a0-4bcf-8b41-4f32104e2e84,28.507547,77.14317,28.644085,77.159022,2025-02-07 09:47:40,3,Ongoing,Yes
ec81015f-16be-47b6-a9ce-67cc083c4068,28.571739,77.164868,28.611804,77.171949,2025-02-05 10:41:09,3,Completed,No
ff42028e-ffd5-4fb9-8faa-43b1ebdb2f46,28.641218,77.153057,28.613439,77.062823,2025-02-09 12:23:58,3,Cancelled,Yes
d3f94b07-af86-4ce9-9708-09103d3ab833,28.557094,77.293429,28.769488,77.127723,2025-02-14 16:46:47,4,Ongoing,No
0d0a504d-b004-474a-a7a0-6188bac231f9,28.640836,77.0642,28.531152,77.024786,2025-02-06 10:44:42,2,Completed,Yes
479ada0a-ad73-47e7-a055-fc6f483298f2,28.642318,77.281143,28.564443,77.27204,2025-02-06 22:31:22,3,Ongoing,Yes
9194e4db-9c85-4210-ad52-1669048c40be,28.642916,77.071399,28.734178,77.083467,2025-02-11 19:57:59,4,Completed,No
5651f6f2-5d55-42df-a171-c783510c6591,28.737885,77.212642,28.669575,77.094159,2025-02-10 11:54:00,4,Ongoing,Yes
30f03dfb-41c1-4d97-a4e1-ce6213ce1643,28.546671,77.226494,28.719808,77.201613,2025-02-08 02:50:48,3,Completed,No
335769c7-035a-47d8-9c52-6da81a527fe0,28.622037,77.260754,28.665042,77.22583,2025-02-13 18:23:41,2,Cancelled,Yes
9ef34024-072b-4265-90c5-b8ef2f4c39cf,28.664074,77.094522,28.544266,77.175404,2025-02-08 01:07:26,4,Completed,Yes
26bf4351-c1c1-4a29-9952-95c8f73d3482,28.658839,77.035375,28.544283,77.113989,2025-02-11 02:26:27,1,Completed,No
f2a426ec-5fb0-426b-8441-03e6913be418,28.545459,77.109299,28.523953,77.000305,2025-02-05 10:23:49,2,Cancelled,No
3910fab2-b27d-4333-94c8-e258bcdfef5d,28.546325,77.091932,28.511283,77.011362,2025-02-05 01:39:34,4,Ongoing,Yes
d8a68389-9a4b-4093-94f5-5ccc892ffbf0,28.563694,77.223975,28.752291,77.151293,2025-02-08 19:56:02,4,Cancelled,Yes
45515817-5ddc-4952-9f0d-d955b29ffb4c,28.791315,77.179816,28.779258,77.083387,2025-02-01 06:11:58,1,Ongoing,No
10f7e0cd-b488-46f9-b551-00f303a9e0cf,28.604976,77.076151,28.689452,77.02233,2025-02-06 06:02:53,1,Ongoing,Yes
37206f84-54af-404d-bdcc-ec1d45bb4004,28.502062,77.278009,28.621524,77.063597,2025-02-13 02:41:35,1,Cancelled,Yes
fdbca489-c0a5-425f-8304-3b12710595c9,28.792537,77.149705,28.697022,77.192136,2025-02-13 02:02:57,3,Ongoing,Yes
4d5a5761-fa42-4683-baad-8f7815630a04,28.71481,77.26982,28.567581,77.077295,2025-02-10 03:13:10,1,Completed,No
87fa38ff-baf5-4665-9b5c-2d543907f691,28.677776,77.173524,28.659184,77.285643,2025-02-07 12:41:21,1,Completed,No
1b7f8be8-75b0-4a46-9922-f46734b60c84,28.790537,77.250696,28.5331,77.104679,2025-02-07 22:25:50,4,Ongoing,Yes
b80deec2-5d01-4ea8-872d-bdce16b8ac6a,28.756028,77.021931,28.575298,77.01569,2025-02-15 00:04:11,2,Cancelled,Yes
ca46c051-4c02-4de6-8dd8-83b1bbd35213,28.524685,77.134093,28.702628,77.182361,2025-02-01 18:27:16,3,Completed,No
92c7934d-4d87-4552-acab-a288d5acb828,28.729725,77.101908,28.667157,77.015711,2025-02-13 12:02:00,1,Ongoing,Yes
4b169b22-2316-4ad9-aadc-35ec8c64d5f8,28.505144,77.177206,28.777433,77.18802,2025-02-04 22:46:08,4,Cancelled,No
371541aa-5d99-4f58-b6e3-e02c76539478,28.540112,77.09871,28.590357,77.019225,2025-02-03 02:41:00,1,Completed,Yes
736169a1-6d17-485a-84ae-bacaf1f5e6bd,28.736681,77.085934,28.763333,77.026088,2025-02-12 13:45:16,2,Ongoing,No
02e2670e-277e-406e-a06a-e6e8df9eabf3,28.761196,77.139235,28.638365,77.081856,2025-02-15 15:03:47,4,Completed,No
6645dce7-9286-4418-bc64-61d2a0d9f2f1,28.576609,77.062559,28.682435,77.027907,2025-02-10 16:09:45,1,Cancelled,No
801adfe8-8c82-488a-afb7-908c2dee353c,28.711127,77.116086,28.763358,77.096656,2025-02-13 21:56:36,4,Ongoing,Yes
67f09fd2-61b2-4b07-9ed5-56bc2f95f00c,28.756851,77.282431,28.697381,77.227825,2025-02-02 00:15:42,4,Completed,No
10a5f7a0-2930-4c49-88de-8d9daabc486c,28.651955,77.083177,28.658637,77.241511,2025-02-11 14:46:09,3,Completed,Yes
3d22426e-7bee-4d73-b2f1-2c2b3ce89d77,28.63912,77.287945,28.636226,77.079842,2025-02-02 06:29:42,4,Ongoing,No
b0e14730-b968-4290-ac32-284d844d5b33,28.55484,77.293103,28.515052,77.171728,2025-02-10 20:40:04,4,Ongoing,No
